马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
超凡達,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(14/10/2024),14/10/2024,沈集成,黎達銘,52,52,Universal Ruler,Dynamite Dream,Denman,銀亮濠俠,
辣得準,澳洲 / 3,棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(03/06/2024),03/06/2024,蔡約翰,吳創木,52,52,Pierata,Queen Caesar,Holy Roman Emperor,喜尊龍凱旋王者,
步風雷,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(25/07/2024),21/03/2024,伍鵬志,楊國全,52,52,Microphone,Astardia,Starcraft,愛國者幸運福星,
甜蝦女,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(23/10/2024),05/09/2024,韋達,劉津津,52,52,Tassort,Eminence,Bernardini,飛馬更威K281飛天王,
新力驕,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(06/11/2024),07/11/2023,蘇偉賢,黃良柏,52,52,Rich Enuff,Harmony Hall,Minardi,跨境寶馬美麗一定劍無名瑪納霏步大威猛正氣青驅精選威氣勢,
戀愛狂,紐西蘭 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(18/09/2024),08/08/2024,葉楚航,雪粉團體,52,52,U S Navy Flag,Rebel Rocker,Fastnet Rock,時時如意將義康昌之星翠湖烈風江南勇士日頌月讚超勁火力富國兄弟碧海藍天樂勝天下,
幸運龍,澳洲 / 4,棗 / 閹,國際拍賣會新馬,$0,$0,0-0-0-0,0,香港(16/03/2024),16/03/2024,巫偉傑,葉樹彬與卓枻豐,52,52,Zoustar,One More Honey,Onemorenomore,展雄威奔妙星加州動員寰宇豐采利不可擋潮州精神會當凌功名顯赫開心馬健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流星際快車攻頂連連有盈鑽石寶寶競駿輝煌,
真強人,澳洲 / 4,灰 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(05/11/2024),03/06/2024,文家良,陳厚寶先生及夫人,52,52,Grunt,Truffle,Testa Rossa,康樂高球天威清遠之星海綠寶實力加元朗精英,
喜尊龍,澳洲 / 3,棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(25/10/2024),06/05/2024,蘇偉賢,杜偉強、杜建廷與杜曜廷,52,52,Pierata,Mica Lil,Testa Rossa,辣得準凱旋王者,
嘉冠王,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(08/08/2024),08/08/2024,大衛希斯,黎嘉峰,52,52,Ten Sovereigns,Twice Smitten,Bernardini,綫路盈樂會長之寶發財鴻星K088K304綠野飛馳,
觀萬物,澳洲 / 4,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(05/08/2024),05/08/2024,徐雨石,鄭應炎,52,52,Pride Of Dubai,Storm Siren,Excites,輕功猛男皇仁福星金鎗武士連連歡呼至尊高超七彩雲珠運高八斗太行美景凡喜陽明閃耀,
飛天王,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(09/11/2024),03/06/2024,賀賢,伯樂群英團體,52,52,Tassort,Could It Be Magic,Exceed And Excel,飛馬更威K281甜蝦女,
順善寶,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(14/10/2024),14/10/2024,沈集成,馬漢傑、張德祥與陳善水,52,52,Lean Mean Machine,It's Poets Day,Dylan Thomas,鼓浪高升星火燎原,
贏得爽,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(10/10/2024),10/10/2024,沈集成,超爽團體,52,52,Ardrossan,Venetian Raider,Rusty Spur,活力精神歷險大將彭玥進傲星仁心星無敵星卓越蒨鋒,
笑喜喜,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(08/11/2024),19/08/2024,蘇偉賢,黃敏儀,52,52,Merchant Navy,Dreamtesta,Testa Rossa,有心意,
小皇爺,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(21/10/2024),24/06/2024,容天鵬,型團體,52,52,Mendelssohn,Joka,Henrythenavigator,八仟財陞,
佳福駒,愛爾蘭 / 5,栗 / 閹,自購馬,$0,"$2,128,575",1-3-3-26,2,從化(06/11/2024),02/10/2021,巫偉傑,洪祖杭,51,54,Dawn Approach,Teoirim,Teofilo,明駒樂加福,
好精神,澳洲 / 4,棗 / 閹,自購新馬,"$789,750","$1,123,200",1-1-1-8,1,從化(06/11/2024),21/09/2023,葉楚航,駱月群,51,45,American Pharoah,Hermosa Beach,Magnus,電子精彩佳景臨門K252知足常樂,
樂加福,澳洲 / 6,棗 / 閹,自購新馬,"$64,350","$4,146,050",4-3-5-35,1,香港(15/10/2024),18/10/2021,韋達,李加和,51,56,Dawn Approach,Cross Stitched,Cape Cross,佳福駒明駒,
熊噹噹,澳洲 / 6,棗 / 閹,自購新馬,$0,"$725,400",1-0-0-8,1,香港(31/10/2024),07/06/2022,蘇偉賢,熊貓之友團體,51,53,Astern,Jessica Ann,Fastnet Rock,天鷹翱翔獨步天下,
東昇鉞,澳洲 / 3,棗 / 閹,自購新馬,"$40,950","$401,950",0-1-1-6,1,香港(19/12/2023),19/12/2023,鄭俊偉,江永明與江俊文,51,54,Yes Yes Yes,Bella Vino,Exceed And Excel,沒有,
聚風雲,紐西蘭 / 6,棗 / 閹,自購新馬,$0,"$3,151,500",3-4-1-29,0,香港(09/08/2021),09/08/2021,丁冠豪,馮國保,51,51,Turn Me Loose,Comme Tu Veux,Howbaddouwantit,歡笑福星果然得假日福星嘉應駿昇話你知銀皇興標自由奔騰木火龍駒,
聯歡兒,紐西蘭 / 5,棗 / 閹,自購新馬,"$64,350","$64,350",0-0-0-2,0,香港(31/10/2024),08/05/2023,黎昭昇,Yvonne Nattashia Ng,51,52,Per Incanto,Ronda,O'Reilly,有財有勢友瑩仁水晶酒杯天火同心獎星綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶陸知質數大浪園田木火同明,
吉祥寶,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-2,2,從化(01/11/2024),20/02/2024,姚本輝,林怡仲與賴愛慧,50,52,Deep Field,Purr Itty Kitty,Sizzling,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
好節拍,澳洲 / 4,棕 / 閹,自購新馬,$0,$0,0-0-0-2,1,從化(21/10/2024),03/06/2024,沈集成,無極大師團體,50,52,Overshare,Madame Bookworm,Publishing,營造組裝好多心得,
心之靈,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-1,0,從化(09/09/2024),12/03/2024,大衛希斯,新亞校友團體,50,50,Written Tycoon,Demanding Queen,Commands,皆益善伊臣佳運財昭易搵金匯昇昇K249嘉應勇士快搏英雄本色澳嘉輝手錶之星駿馬為伍昇瀧駒好友心得前風環球英雄,
大番薯,澳洲 / 4,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-2,1,香港(09/11/2024),20/02/2024,廖康銘,羅文滔,50,50,Super One,Silly Sally,Myboycharlie,大老撾電子宇宙好運寶馬K268競馬一心宇上龍騰,
堅有利,紐西蘭 / 6,灰 / 閹,國際拍賣會新馬,"$1,162,700","$1,698,925",2-1-1-15,1,香港(17/10/2024),10/07/2022,沈集成,嚴維禮先生及夫人,50,35,Reliable Man,Oh So Royal,Danzero,納百川大紅袍銀火箭,
錢多多,紐西蘭 / 7,棗 / 閹,自購新馬,$0,"$4,129,380",4-3-3-36,1,從化(30/10/2024),03/03/2021,大衛希斯,香港足球會團體,50,55,Contributer,Snowdonia,Peintre Celebre,火焰閃爍開心老友勇創派對飛躍成就帝豪勝駒,
火金鷹,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-2,2,香港(25/01/2024),25/01/2024,徐雨石,席家宜,50,52,All Too Hard,Elusive Valley,Equiano,豬膶燒賣郎中物酷霸王勇敢歡欣魅力寶駒古惑大師大眾快駒快又醒良駒好友K290嘉應光彩瑪瑙譽友駿駒幸運愉快德心知遇魅力知福錶之星河西坎德爾生生勝利三劍合璧競駿良駒,
智開心,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-1,0,香港(29/10/2024),25/01/2024,黎昭昇,智之友團體,50,50,Menari,Candy Bridge,Encosta de Lago,沒有,
燈胆皇,澳洲 / 5,棗 / 閹,自購馬,"$81,900","$105,300",0-0-0-8,2,從化(13/11/2024),19/12/2023,伍鵬志,莊堅毅,49,56,Ambidexter,Kelly Royale,Keltrice,沒有,
慶萬家,紐西蘭 / 6,棗 / 閹,自購新馬,"$421,200","$4,052,200",5-3-4-31,2,從化(11/11/2024),05/07/2021,蘇偉賢,周巧兒,49,46,Ghibellines,Cherry Creek,Monashee Mountain,沒有,
超風速,紐西蘭 / 4,棗 / 閹,自購新馬,"$725,400","$725,400",1-0-0-7,1,從化(06/11/2024),19/10/2023,廖康銘,共同興趣團體,49,42,Vespa,Leica Glory,Iffraaj,沒有,
鄭大哥,紐西蘭 / 5,栗 / 閹,自購新馬,$0,$0,0-0-0-2,0,從化(16/10/2024),27/07/2023,葉楚航,鄭應炎,48,48,Iffraaj,Voliera,Keeper,爆出美麗威武年代我做到皮具大師金發銀發樂天派,
皆益善,澳洲 / 5,棗 / 閹,自購新馬,$0,"$134,550",0-0-1-4,0,香港(26/09/2024),08/05/2023,游達榮,益善賽馬團體,48,51,Written Tycoon,Rolling Cloud,Fastnet Rock,伊臣佳運財昭易搵金匯昇昇K249嘉應勇士快搏心之靈英雄本色澳嘉輝手錶之星駿馬為伍昇瀧駒好友心得前風環球英雄,
小飛俠,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$315,900",0-1-0-6,0,從化(19/07/2024),07/11/2023,蔡約翰,吳子霖與吳王依雯,48,48,Savabeel,Fast Company,Fastnet Rock,鬥志波魔法速遞架勢奇爸獨角獸帥帥友福大千氣象齊歡最樂包裝福將勁好運,
八正道,澳洲 / 4,棗 / 閹,自購新馬,"$111,150","$111,150",0-0-0-3,1,香港(02/11/2024),18/09/2023,蔡約翰,陳國聰,48,52,Highland Reel,Walka Country Mile,Tale Of The Cat,快步流星金陽飛駒,
海藍寶,澳洲 / 5,栗 / 閹,自購新馬,$0,"$842,400",1-0-0-11,0,從化(06/10/2024),20/02/2023,游達榮,香港高爾夫球會賽馬團體,48,48,Husson,Luna Azzura,Magnus,沒有,
囍眼光,澳洲 / 4,栗 / 閹,自購新馬,"$70,200","$204,750",0-0-1-7,2,香港(07/09/2024),19/12/2023,大衛希斯,譚榮根,48,51,Starspangledbanner,Granada Star,Starcraft,顯力之城永遠美麗美麗第一金鑽精靈神馳加州星皓加州星球加州星馳綫路英雄衝上雲霄飛鷹翱翔喜蓮勇略紅衫魚K267K280K301歡喜福星大輝煌知恩圖報南莊堡雪勇神駒盈妍威楓紅海風帆一定掂閃耀威龍紫荊歡呼都靈星球三代同心手到齊來,
滿多福,紐西蘭 / 5,棗 / 閹,自購新馬,$0,"$1,390,900",2-1-0-12,0,從化(28/10/2024),07/11/2022,方嘉柏,劉心暉,48,48,Tivaci,Repenting,Ekraar,最好玩K306K307保羅傳奇英駿飛駒神駒馬靈,
國大合,澳洲 / 6,棕 / 閹,自購新馬,"$655,200","$2,735,100",4-2-0-30,2,從化(11/11/2024),20/12/2021,廖康銘,陳紹祥、陳佛恩、馮潮澤與郭海生,47,41,Pierro,Forty Winks,Kheleyf,金將九尾狐幸運同行逐步贏,
金駿星,紐西蘭 / 5,棗 / 閹,自購馬,"$70,200","$293,250",0-0-1-12,1,香港(02/08/2024),29/06/2023,賀賢,銳得精彩團體,46,46,Darci Brahma,Strictly Maternal,O'Reilly,宇宙動力健康之星得勝多富存寶馬獵狐者勁H349科創世紀鋼鐵戰士歡樂至寶金滙千帥勁速威龍極速滿貫,
喜智駒,澳洲 / 4,棗 / 雌,自購新馬,$0,$0,0-0-0-2,1,從化(30/10/2024),20/02/2024,蔡約翰,羅詠賢,46,48,Churchill,Invincible Fille,I Am Invincible,美麗之光安遇安熠夢幻駿駒飛黃駿奕快車K262嘉應傳承恒之有道駿彩飛馳華美之威,
勝萬金,澳洲 / 4,棗 / 閹,自購新馬,"$774,375","$920,625",1-1-1-11,1,香港(23/08/2023),08/05/2023,告東尼,何國成、方富源、方奕聰與劉樺曄,46,40,Deep Field,National Anthem,Rock Of Gibraltar,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
賢心星,澳洲 / 4,棕 / 閹,自購新馬,"$530,950","$747,400",1-0-1-8,0,從化(16/10/2024),21/09/2023,方嘉柏,關健文、關敏婷與關瀚明,46,42,No Nay Never,Highly Valued,High Chaparral,龍之輝燊宜之星精英拍檔一鹿歡騰八駿福昇K201鑽石星空大至尊心想事成挺秀騰飛建測精英,
無敵星,紐西蘭 / 4,灰 / 閹,自購新馬,$0,$0,0-0-0-3,0,香港(07/11/2024),19/10/2023,姚本輝,王文揚與王家揚,46,46,Ardrossan,Chillypin,Pins,活力精神歷險大將彭玥進傲星仁心星卓越蒨鋒贏得爽,
小刺蛋,澳洲 / 6,棗 / 閹,自購新馬,$0,"$2,257,050",2-1-4-25,1,香港(09/11/2024),29/06/2022,巫偉傑,廖舜康,46,48,Eurozone,Viennese Beauty,Snitzel,沒有,
傳承者,澳洲 / 5,棗 / 閹,自購馬,"$70,200","$140,400",0-0-0-11,2,香港(21/09/2024),28/08/2023,徐雨石,馬約禮,46,50,Frankel,Wedding Veil,Dubawi,紅愛舍手到再來,
勝得福,紐西蘭 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-4,1,香港(20/06/2024),19/12/2023,蘇偉賢,易劉瑛琳與易國良,45,51,Ace High,Sinnfonia,Sinndar,極速贏好日子,
飛騰騅,法國 / 6,棗 / 閹,國際拍賣會新馬,$0,"$4,237,530",3-9-2-41,0,從化(13/08/2024),28/06/2021,方嘉柏,運轉乾坤團體,45,45,Charm Spirit,Militante,Johannesburg,佳運發錢程萬里不可擋東方寶寶天天耍樂飛雲上市魅力福國寶歡樂飛駒K141嘉應獎昇愛馬善魯班精神勇冠群英盛勢威楓銀刺勇士智勝攻略不假外求三生福佑友運行,
勝多多,澳洲 / 5,栗 / 閹,自購新馬,"$286,650","$602,550",0-2-0-10,1,香港(09/11/2024),08/05/2023,韋達,賽馬大師團體,45,45,Divine Prophet,The Fairy's Kiss,Elusive Quality,大回報馬鳳凰漣心星拚搏全城帶勝,
新幹線,澳洲 / 5,栗 / 閹,自購新馬,"$491,400","$1,643,850",1-2-2-18,2,香港(02/08/2024),19/12/2022,韋達,好忠誠團體,45,43,Rubick,Irish Teardrop,Fastnet Rock,星河勇士K299光年魅力萬事掂包裝天將球星韋金主電訊驕陽,
超眼光,澳洲 / 4,棕 / 閹,自購新馬,$0,"$40,950",0-0-0-4,0,從化(03/07/2024),19/12/2023,蔡約翰,譚榮根,45,45,More Than Ready,Materiality,Hinchinbrook,中華叻叻,
紅錢到,澳洲 / 4,棗 / 閹,自購新馬,$0,"$70,200",0-0-0-4,0,從化(28/06/2024),28/08/2023,呂健威,競賽精神團體,45,45,Deep Field,Falqueen,Falbrav,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡怡昌奇兵優悠俠,
綠族威,澳洲 / 5,栗 / 閹,自購新馬,"$356,850","$1,131,450",0-3-1-16,1,香港(29/06/2024),16/01/2023,姚本輝,上騰團體,44,43,Choisir,Sheer Style,Snitzel,勝利神駒,
八勇士,澳洲 / 4,栗 / 閹,自購新馬,$0,"$40,950",0-0-0-4,0,從化(09/09/2024),19/12/2023,沈集成,八團體,44,44,Frosted,Fly Higher,Lonhro,晴王多彩多姿龍又生K272K294,
日日獎,紐西蘭 / 5,棗 / 閹,自購新馬,"$560,200","$1,783,550",2-2-1-23,1,從化(25/10/2024),19/12/2022,方嘉柏,鄭彼德與鄭俊豪,44,40,Tarzino,Gin Swing,Keeper,得意佳作,
得勝多,紐西蘭 / 7,棗 / 閹,自購新馬,$0,"$4,825,400",4-7-1-47,2,香港(07/11/2024),02/09/2020,游達榮,許明明、蔡德偉醫生與蔡永基,44,46,Darci Brahma,High Joy,High Chaparral,宇宙動力健康之星富存寶馬獵狐者勁金駿星H349科創世紀鋼鐵戰士歡樂至寶金滙千帥勁速威龍極速滿貫,
五福星,紐西蘭 / 4,栗 / 閹,自購新馬,"$315,900","$769,275",0-2-1-11,1,從化(01/11/2024),24/08/2023,羅富全,兄弟幫團體,44,44,Swiss Ace,Inara Belle,Elusive Quality,天分高銀河勇士大師爺皇龍飛將歐洲傳奇威力奔騰運來勇士哈羅威欣樂人生滿歡笑忠誠寶寶馬利奧神異金剛勁先生新力霹靂威龍翹峯,
小神仙,澳洲 / 5,棗 / 閹,自購新馬,$0,"$1,234,250",2-0-0-19,1,從化(11/11/2024),11/10/2022,姚本輝,高沛團體,44,47,Scissor Kick,Coffee Hit,Medaglia d'Oro,雅典武士旺旺快駒,
管之友,愛爾蘭 / 6,棕 / 閹,國際拍賣會新馬,"$40,950","$1,906,650",2-1-3-19,1,從化(11/11/2024),23/11/2021,賀賢,管之友團體,44,46,Mastercraftsman,Excellent Mariner,Henrythenavigator,沒有,
必先生,南非 / 7,棗／棕 / 雄,自購馬,"$40,950","$1,321,875",1-0-1-26,1,從化(30/10/2024),14/11/2021,游達榮,史立德,44,48,Querari,Varsity Belle,Var,沒有,
龍之珍,澳洲 / 4,栗 / 閹,自購新馬,$0,"$140,400",0-0-0-6,0,從化(06/10/2024),19/10/2023,容天鵬,廖振恒,43,44,Justify,Santa Clara,Foxwedge,風再起時天火同德凡凡有餘正將快靚旺假面騎士十力千里如飛銳義新意馬和平波浪漫戰神難以置信,
四喜鳥,澳洲 / 5,棕 / 閹,自購新馬,"$23,400","$1,642,950",1-2-3-18,0,從化(18/09/2024),11/10/2022,黎昭昇,黎志偉,43,45,Impending,Ilovewhatsebrings,Sebring,K287儀琪之寶星運少爵,
太陽昇,澳洲 / 5,栗 / 閹,自購馬,"$157,950","$157,950",0-0-1-10,1,香港(18/09/2023),18/09/2023,鄭俊偉,江永明與江俊文,43,48,Capitalist,Love's Great,Choisir,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月增強日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高洛河金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
劍山鋒,澳洲 / 5,棗 / 閹,自購馬,"$70,200","$172,500",0-0-0-10,1,香港(09/11/2024),08/05/2023,廖康銘,洪實忠先生及夫人與洪錦龍,43,45,Smart Missile,Breezing Home,War Pass,特別美麗威力飛彈新強福盈風采人生堅又威高明力量艾彼奧聰明導彈K300背背龍綠色好運友愛心得工程小子荃程路通,
辣得金,澳洲 / 4,棕 / 閹,自購新馬,"$380,250","$380,250",0-1-1-8,2,香港(09/08/2024),14/08/2023,伍鵬志,黃紋,43,44,Headwater,Beechal,Lonhro,十二神將醒嘉輝志在開心熱氣球占士德K295英勇名駒勇進齊心英雄豪傑,
樂威煌,紐西蘭 / 4,棗 / 閹,自購新馬,"$140,400","$140,400",0-0-0-6,1,香港(26/10/2024),21/12/2023,黎昭昇,朱賢淦與朱喬銘,42,46,Vancouver,Sawakiyna,Sea The Stars,果然僥倖鴻圖新星妙算高歌萬事快,
驍勇者,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-3,0,從化(13/09/2024),16/01/2023,告東尼,徐玲玲,42,42,Deep Field,Loyal Hero,Reset,旺旺昇叻魅影獵飛好瑪威威熾烈神駒加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
妙玲瓏,澳洲 / 5,棗 / 閹,自購馬,"$70,200","$1,286,975",2-0-0-23,1,從化(01/11/2024),26/07/2022,巫偉傑,王炳權,42,43,Exceed And Excel,Vicennalia,More Than Ready,艾莉奧大將鵰神超旺財得道猴王K237皇帝英明安康萬里神行百變籐王駒同喜博學多財發光發亮手機錶勝,
江南盛,紐西蘭 / 5,棗 / 閹,自購新馬,"$23,400","$937,000",1-1-1-16,2,從化(08/11/2024),26/01/2023,伍鵬志,陳宇江與陳李南春及陳雅朗,42,45,Telperion,Treat,Ishiguru,K303,
馬利奧,紐西蘭 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-5,0,香港(05/09/2024),24/08/2023,賀賢,晉安團體,42,42,Swiss Ace,Secluded,Postponed,天分高銀河勇士大師爺皇龍飛將歐洲傳奇威力奔騰運來勇士五福星哈羅威欣樂人生滿歡笑忠誠寶寶神異金剛勁先生新力霹靂威龍翹峯,
妙芳華,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-5,1,香港(29/04/2024),18/09/2023,羅富全,廖齡儀,42,46,Flying Artie,Alpen Rose,Swiss Ace,美麗老撾祝願,
駿先生,紐西蘭 / 5,灰 / 閹,自購新馬,"$157,950","$1,001,300",1-0-3-16,1,從化(16/10/2024),11/10/2022,賀賢,史昊洺,42,44,El Roca,Rubi de Lago,Encosta de Lago,綫路達飛綫路神驊可期而遇怪獸奇兵,
桃花多,澳洲 / 6,栗 / 閹,國際拍賣會新馬,"$183,750","$2,624,900",2-5-2-29,1,香港(07/08/2024),28/06/2021,鄭俊偉,曾祥顯,42,40,Sebring,Fashion,Anabaa,美麗同享精算謀略極速奇兵巴閉仔,
漣心星,澳洲 / 4,棗 / 閹,自購新馬,"$46,800","$163,800",0-0-0-6,1,香港(09/11/2024),24/08/2023,方嘉柏,關紹文、關敏恒與關俊明,42,45,Divine Prophet,Leopard Skin,Tale Of The Cat,大回報勝多多馬鳳凰拚搏全城帶勝,
九秒九,紐西蘭 / 7,棗 / 閹,國際拍賣會新馬,$0,"$2,902,625",3-3-3-32,1,香港(19/09/2024),28/06/2021,方嘉柏,鄭鍾華與鄭天衡,42,46,Ocean Park,Eudora,Pins,瀧澤飛駒,
冠寶駒,紐西蘭 / 8,棗 / 閹,自購新馬,"$204,750","$6,619,280",6-4-4-55,2,香港(23/03/2024),17/01/2020,大衛希斯,公平團體,41,45,Hallowed Crown,Justagem,Stravinsky,驕陽萬里駿皇金辰速密碼,
金德義,紐西蘭 / 6,棕 / 閹,自購新馬,$0,"$1,691,100",0-5-2-19,0,從化(17/07/2024),09/08/2022,賀賢,鍾慧書與鍾小華,41,41,Preferment,Wild Rock,Fastnet Rock,天將龍駒,
超威力,紐西蘭 / 6,棗 / 閹,自購新馬,$0,"$1,200,600",1-1-1-16,1,從化(08/11/2024),05/07/2022,蘇偉賢,李圖明、李茂銘博士與樓莊巍,41,44,Power,Onmyown,High Chaparral,祥勝力駒世澤歆星贏得自然,
有心意,澳洲 / 4,棗 / 閹,自購新馬,"$70,200","$93,600",0-0-0-7,2,香港(29/10/2024),09/10/2023,羅富全,綠駿團體,40,44,Merchant Navy,Crazyonyou,Encosta de Lago,笑喜喜,
開心馬,澳洲 / 6,棗／棕 / 閹,自購新馬,"$81,900","$1,558,750",2-1-1-21,2,香港(02/11/2024),12/07/2022,文家良,陳厚寶先生及夫人與陳衍維先生及夫人,40,45,Zoustar,Kiss In The Rain,Manhattan Rain,展雄威奔妙星加州動員寰宇豐采利不可擋潮州精神會當凌功名顯赫健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流星際快車攻頂連連有盈幸運龍鑽石寶寶競駿輝煌,
大登殿,紐西蘭 / 7,棗 / 閹,自購馬,"$124,025","$1,720,875",1-1-3-31,2,香港(28/09/2024),13/09/2021,賀賢,伯樂群英團體,40,44,Mongolian Khan,Dolce Bella,Postponed,建測羣英,
水龍頭,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$269,100",0-0-1-8,1,香港(16/09/2024),24/08/2023,葉楚航,運財團體,40,44,Eminent,Diggilou,Iffraaj,沒有,
同寶寶,紐西蘭 / 5,棗 / 閹,自購新馬,$0,"$807,300",0-1-1-15,0,從化(15/09/2024),20/03/2023,伍鵬志,梁小燕,39,39,Satono Aladdin,Bateleur,Gone West,超平凡皇帝英豪健而快伶俐驫駒定數,
佳尊三,美國 / 7,棕 / 閹,自購馬,$0,"$3,587,450",4-3-3-55,1,從化(25/10/2024),21/09/2019,蘇偉賢,蕭劍瑩,39,43,Dialed In,Chu And You,You And I,沒有,
勝神威,澳洲 / 6,棗／棕 / 閹,自購新馬,$0,"$2,880,075",3-1-1-26,1,從化(30/10/2024),12/07/2022,蘇偉賢,創勢力團體,38,40,Fiorente,Bona Fides,Elusive Quality,跑得好快,
玫瑰寶,英國 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-6,1,香港(26/10/2024),23/12/2023,蘇偉賢,黃光輝,38,43,Australia,Gwerrann,Dansili,極靈,
